text,department
A lot of trouble to citizend because of frequent power cuts in the area....,Electricity
Devastated about the earthquake in Haiti these people just keep getting hit over and over again. I ve been.. http bit.ly 8ZXcaP,Transport
"PATNA, India, Sept 29 (Reuters) - Hundreds of police were deployed in a flood-hit eastern Indian state on Monday, a day after soldiers opened fire on angry villagers demanding food and relief, wounding at least a dozen people.",Safety
In this location in silk board signal from HSR to banashankri. always drinage block n water stays on road. repair asap,Roads
Stones throwed at parked cars,Safety
"The Mercy is normally kept in reduced operating status with an on-board civilian mariner crew of 12 and a hospital support staff of 58 military personnel who care for the ship's hospital facilities, equipment and supplies.",Health
"The UN refugee agency says landslides and floods have forced 6,000 quake survivors to return to emergency camps and that nearly 20,000 others are set to do so.",Transport
Rayasandra Main Road is crying for getting tarred / asphalted for the many years now. The Road condition is pathetic and need immediate attention.,Roads
"The Ministry of Health has reported the deaths of more than 300 people from Rift Valley fever, thought to be a mosquito borne disease.",Health
"We need water in La Gonave, we need food and medicine. ",Water
obAshenoff @LONEWOLF1953 @Mantequilla9 @kk_ROZAY @C_L_Ash @gillperez I can't watch the show tonight no power from the hurricane :(,Electricity
Broken footpath in front of the clinic where patients traffic is more,Sanitation
"In that regard, he said that plans related to vitamin A supplementation in food had been successfully implemented, as had plans aimed at broad-based eradication of preventable or readily treatable diseases.",Health
Pls send some engineerings to repair street light in Ananthapura 9th Main Road and evry time it's getting repair and some electric power cables are hanging pls see that it's well tagged and it's repaired in proper manner as soon as possible...,Electricity
Good morning!How are you doing my brothers when the cyclone start and when it will be finish. ,Environment
Application rejected no reason,Municipal
Interseismic strain accumulation measured by GPS in the seismic gap between Constituci‚àö‚â•n and Concepci‚àö‚â•n in.. http://tumblr.com/x5y72zxlo,Transport
"HANOI, Apr 5, 2002 (Xinhua via COMTEX) -- Fires that have been raging in Vietnam's U Minh Thuong National Park for the last 10 days destroyed more than 4,000 hectares (ha) of the country's virgin cajeput forest, the Vietnam News reported Friday.",Safety
No response from government office for two weeks,Municipal
"Since the working group's last meeting in Moscow in October 2000, the un security council imposed additional sanctions against the Taliban leadership through security council resolution 1333 because of their continued support for terrorism.",Transport
syed Mazahir Abbas Mouza Shahwali Tehsil Ali Pur District Muzaffar Garh. About 300 Housholds. Starvation. No Rescue Team reached.,Safety
No street bulb over here!,Electricity
"Witnesses to recent abuses told Human Rights Watch both in Mali and by phone that government soldiers tortured two men, summarily executed two, and forcibly disappeared at least six others.",Safety
"There is incessant construction going on since past 6 months next to my building and they have no safety precautions, leading to debris falling on other houses and passerby. Now they have brought a bunch of workers and stationed them at the site, which has turned an upmarket locality into a slum. They roam without masks, wash clothes on the street, shout and fight all day long, and have their children running around unsupervised, which has led to numerous vehicles almost getting into an accident. 

They are operating in a very unsafe way and have put the entire lane into danger.",Housing
No update no response,Municipal
The road from Ramamurthy Nagar bridge to tc palaya is totally dug up and it is almost impossible to use. This road is the main connecting road for thousands of households in Hoysala nagar. This current state of the road is also raising up sand and making it harder for the people to even walk in the side walk.,Roads
The road is in pathetic condition and please save people by putting thar road for just 400 meters.. See the horrific condition.,Roads
"As of Friday, they had completed epidemic prevention measures for two camps, 59 tents, 30 garbage dumps and nine collapsed sites.",Housing
"WE LIVING IN THE NATIONAL SCHOOL #28,WE WAITING YOUR HELP SUCH AS : FOOD,WATER,TENT. THANK YOU,I WAIT YOUR HELP. ",Water
Street light not working near hospital,Electricity
Hello. My house is located in Vijaynagar and people come and piss next to my house wall and dump all garbage. Kindly do the needful,Sanitation
The navy also saved a Mexican and an Indian seaman who had been drifting at sea for three days.,Safety
"We are member of the society ""URBAN ECOSPACE"" and we are compel to live in the fear every dat after 8 pm as there is no street lights from Billapura gate till our society and there have been many instances where our society people have been looted on the gun and knife point. we have complained several times to BBMP and same complain has been given to PMO but cant see any response . we never know whos turn is next hence requesting BBMP to pitch in and do the needful.",Electricity
"We ARE in Port-Margot, in the Northern part of the Country. It is 2hrs driving from Cap-Haitian, We do not have anything to survive. We are dying, please help us.",Health
Streetlight not working,Electricity
WE ARE IN MAHOTIERE 75 WE DONT HAVE FOOD WATER TENTS ,Water
Road has become very worst to commute,Roads
People use the empty plot as their own personal toilet and dustbin. It's become even worse since the bwssb dug up the plot to put in some pipes and just piled the garbage up and destroying the plants making it an eye soar,Sanitation
Dear sir there was a water pipe line with tap here where our people use to catch drinking water everyday during the time of this BBMP sewage line dipping they destroyed this line telling we will reconstruct and give after completing the work it's been nearly a month the engineer who promised the same to construct and give back is upsconding and out people in road are struggling to catch the drinking water please do the needfull as soon as possible,Water
"Street lights are not working in the area. It is difficult for the pedestrians to commute at night.

Kindly resolve the issue",Electricity
I honestly didn't think this hurricane was gonna be this bad __,Environment
@justinbieber: Gonna try to work with Red Cross to have u guys all help donate for those affected by hurricane sandy‚àö√Ü kill yourself,Environment
"The delivery of humanitarian assistance to Pakistan is made difficult by the mountainous terrain of the affected region, inclimate weather, and damaged or collapsed physical infrastructure.",Transport
"A trial of the experimental Ebola drug brincidofovir in Liberia has been halted due to a significant drop in the number of new Ebola cases, coupled with the 30 January announcement by the drug's manufacturer that it would no longer participate in the trial.",Health
"I am living in slv enclave, ashwath nagar, thanisandra, beside shell petrol bunk.
Here the road is dugged many days ago and there is full dust on the road.
Many chuldren and people are facing health issues due to this dust. Please lay new tar road or atleast take some action so that the dust should not come into the houses and people dont fall sick.
thanks in advance.",Roads
"Jayanagar has many beautiful parks developed and one wonders why the administration is not taking active role in keeping the surroundings clean. Between 3rd and 5th Main the parks are SURROUNDED BY GARBAGE, FILTH AND OPEN DRAINS. 
Inside the parks too daily cleaning is needed. People come to exercise, breathe clean and pure air, relax and to feel good, this can be achieved with proper upkeep in and around the parks",Sanitation
"Despite multiple complaints, there are no fast actions on the sewage lines yet. We at this location experiences regular sewage issues and water logging. I request the corporator to look into this issue immediately.",Health
"Hello Digicel, Good evening. Could you please replenish my mobile phone account. Since the earthquake, I have not had any news of my family. Please, I am waiting immediately. ",Safety
"Staff safety and security remain ""major concerns given the sustained threat to United Nations personnel and others from asymmetric attacks, IEDs and kidnappings,"" the report warned.",Safety
"This fire would not have happened if no one played with matches, said deputy emergencies minister Alexander Chupriyan, referring to the inferno that ripped through Khakassia on Sunday, where temperatures hit 25 degrees Celsius.",Safety
"A UN peacekeeping mission integrating more than 6,000 African soldiers into its ranks is charged with ensuring security Sunday and in the months after the election.",Safety
"The tsunami doubled in intensity over rugged ocean ridges, amplifying its destructive power at landfall.",Environment
Garbage dumping on the road,Sanitation
rat infestation in building,Animal Control
"There is no vaccine for the highly infectious disease, which causes fever and bleeding from orifices and can cause death within days.",Health
"We're providing clean water to people who would otherwise be forced to walk more than 12 miles just for muddy pond water. Some major pollution incidents have left bitter memories for Chinese, such as chemical pollution of the Songhua River in northeast China in November 2005 after a chemical plant explosion and the blue-green algae outbreak in the Taihu Lake in Wuxi, Jiangsu last May. The Ethiopian Roads Authority later announced, that the road sector loan will be used for gravel road asphalting"" and ""asphalt road rehabilitating"" projects along four main roads in the country.",Water
"WE PARENTS WE CRY HOW CRAZY THOSE PEOPLE FROM THE GOUVERNMENT ARE??? ,TO DARE THEM TELL US TO BRING OUR CHILDREN IN THOSE OPEN WALLS THEY CALL SCHOOL? WE DONT SEND THEM THERE AT ALL !!!,THEY NEED SECURITY.. ",Safety
"Kindly Request the Owner of this Vacant Plot to shift his operations to another area so that the women and Children are saved from Harassment of the workers and drivers working under the owner in this vacant plot Kindly do the needful and restore the calm , peaceful residential outlook Kindly Request the owner to construct a building so that the area is peaceful",Safety
My application is still pending,Municipal
Streets light is also not working,Electricity
"Heavy rains and snow also fell on South Africa's southern region on Wednesday, blocking roads and spurring rescue attempts to save stranded motorists.",Transport
"Few months ago in this area they digged the road for pipeline but they not properly   tarred the road so it creates lack of inconvenience to the public  and it is difficult to drive or to walk on that damaged roads, it creates lack of dust pollution",Roads
"While repairing flood-damaged infrastructure, governments would intensify investment in water conservancy projects, especially in harnessing small and medium-sized rivers, preventing and controlling mountain torrents and reinforcing reservoirs, said the instructions.",Housing
"o asymptomatic individuals are not infectious, even if they are incubating the disease The IHR Emergency Committee agreed that there should not be a general ban on participation of people from countries with transmission of Ebola from attending international meetings and events.",Health
"We need tents to sleep in and we don't have any food left. We're on chemin lespinasse in tabarre, inside ",Housing
water connection not approved,Municipal
no blackboard in classroom,Education
"The entire patch from Bhoganahalli Main Road to 3rd Cross JCR Layout is filled with potholes and there is no tarring left now. This needs immediate attention as it's unsafe to both drive and walk.

Please have a look at the pictures to get an idea of the poor condition.",Roads
"Referring to the devastating earthquake that struck the Pakistan-India border area in October last year, Princess Zahra stressed that in addition to immediate assistance to the victims, support is needed to help residents reconstruct communities so that they will be less vulnerable to future seismic shocks.",Safety
Ration card delayed long time,Municipal
Broken footpath from almost 3 years,Sanitation
The winds caused a 7 meter tidal wave that swept more than 20 km inland and brought massive destruction and death to a number of coastal districts in the state of Orissa.,Environment
Hurlur. Road is a main road joining hosa road to sarjapur main road. this is a main and heavy on traffic but road is very bad.  and makes road jam. request please fill up potholes on the complete stretch,Roads
Is it possible to know how many people died during the quake? ,Transport
Since from 10 years road asphalting is not done on 7th main 1 st cross of mpm layout. Many requests to BBMP and compliant and photograph of the road in TOI has gone in vain. I do not know what the corporator is doing. also there is no collection of garbege auto coming regularly.,Roads
Street light,Electricity
Garbage dump yard was set to fire by maintenance guys only. It is polluting air which is already contaminated.,Sanitation
"No street light on the lampost completely dark it's very difficult to move out in night
please insatl lights immediately",Electricity
They would come near our house properly. Every time the tell they won't carry dry garbage. And very irregular.,Sanitation
i would like to know how to fix a shelter. ,Housing
"Do each haitian make money less than the money hi can eat each day, it's not a help but it's a way to continue with operating system. ",Electricity
"Stop laying of Concrete road . Before laying of new road , remove unauthorised construction of ramp . This is brought to the notice of Assistant Engineer  Mr Raghunandan who had come for inspection",Roads
"Donors provide greater funding support for infrastructure improvements, especially for the continued rehabilitation of transportation networks throughout the Congo.",Transport
Irregular Water Supply in Cambridge layout. it's been 3 days since water  we have filled drinking water. it happens almost every month . many days there is no proper water supply. please look into this and provide a regular water supply.,Water
"The chaotic evacuation of towns and villages in flood affected areas means some vulnerable people have become separated from male family members, putting them at a disadvantage: The elderly, women and children are often unable to reach the bags or parcels being distributed, especially when mobs besiege the aid trucks.",Transport
rat infestation in building,Animal Control
"People are throwing the plastic waste over here and burning it irrespective of residential place and lot many kids are around here . It is suffocating and dont know what kind diseases will come

Need to give awareness and the waste collection vehicle is not stopping or coming here properly

Need to take action on people who burn the garbage 

And also even the BBMP workers also drop the waste in the empty plot 

This is an serious issue",Sanitation
Application still not processed,Municipal
dead animal on road,Animal Control
"Complicating matters, the Tigers -- who are allowed to move through government areas under the truce -- have threatened to use armed escorts to protect their cadres against attack, a move that would violate the ceasefire and raise the spectre of possible confrontations.",Safety
aplusk Breaking news Catastrophic earthquake today in Haiti just off the coast of Florida. Untold dead. Horrific situ. PLEEZ get word out,Transport
"Sir, since March 2021 to till day the garbage is not collecting from our road. Kindly inform the concerned person to collect the garbage in our road. Hence, I rewuest you to please do the needful.",Sanitation
There is no reqular water supply after paying all the tax and money still we are not getting water and no proper response from water supply people,Water
there is now water for us to drink at St peter Place at all. If there is way for us to get it urgently. ,Water
"Illegal building encroaching upon protected lake area. Building is hidden inside apartment complex so that BBMP officials do not find out. The illegal building is less than 20 metres from a lake. Construction has resulted in the lake dying. 

Sir, please help us.",Housing
rabies case in our area,Animal Control
The footpath is uneven and broken at many places. It is used by a large number of people yet no maintenance. Due to this the pedestrians are forced to walk on the roads slowing down vehicular traffic and causing traffic jams. GKVK Signal to Jakkur Road in Ward 7 Byatarayanpura,Sanitation
college fees not refunded,Education
"The tap water supply has been cut off, and the people there can only drink bottled water, said Liu Bin, a publicity official from Pu'er City.",Water
Online status not updating,Municipal
There are fears it could be used in a biological weapons attack.,Electricity
Power supply is gradually restored after the work of repairing teams sent by the government.,Safety
(Six) submarine cables are not working due to the earthquake near Taiwan.,Electricity
The roads of Ashirwad Colony Especially 9th Cross is in severy bad shape and is not ok to to even walk forget riding or driving. Pls do the needful to get the road back to normal condition,Roads
"Very Pathetic road situation, from Central jail circle to crpf campus junction, path Holes for which water logs, traffic more, daily ppl get very scary to cross this road if rain comes daily we don't where will holes",Roads
"Everyone, people of Grande Saline le Lambi are asking for aid because they have not seen anyone. We problem of water shortage. We have a reservoir to put the water. Ed ",Water
"There are many big big potholes across the entire stretch of Nellurahalli Road. Situation has worsen after the rainy season. 
These potholes are very dangerous and are resulting into slowing down of traffic on this very busy road as it conncts to ITPL.",Roads
Again Garbage is not being picked up. It has overflown again. Please resolve this at the earliest.,Sanitation
"The coverage of the remote areas with food, clean water and medical assistance has been a very difficult and expensive task due to disrupted communications.",Water
"I'm on the ground,I'm not inside of the house please help me quickly. ",Electricity
cockroach infestation in market,Animal Control
A strong gust of wind whipped up a blaze that engulfed the group.,Safety
"With brutal winter weather now engulfing Pakistan's earthquake affected areas, IMC continues to provide critically needed medical assistance through its fixed clinics in Bessian and Ghari Habibullah, including delivering measles immunizations to hundreds o",Health
The street light in my street is not working from the past three months and we have not received any action from the BBMP even after several complaints. Please do the needful.,Electricity
"At free medical camps, many people complained of symptoms related upper respiratory infection due to sandy dust.",Health
college fees not refunded,Education
Frequently power cuts in days and nights without any information.,Electricity
This road never had Tarring which makes it really hard to pedestrian to travel especially in rainy season.,Roads
"Due to Garbage vans irregularity, people are forced to throw garbage on the roads and empty sites. 
2 such sites in our area are: 

Due to which many are falling sick. 
Sometimes, people think they are taking an initiative and burn the garbage, causing deadly diseases as plastic burns. 
Please treat it with high importance and send the garbage vans regularly. 
Thank you.",Sanitation
building permit rejected,Municipal
"Giving water , coats , blankets",Water
college fees not refunded,Education
The city council and Swaziland electricity board have been restoring the damaged infrastructure with the assistance of the national fire and emergency department.,Electricity
stray dog biting people,Animal Control
Past one week very frequent power cuts. Going through major loss of work.,Electricity
"One side of the road along Channasandra Main Road, Chansandra, is completely broken and this road has a lot of sand accumulated along both its sides. As vehicles pass through this road, the entire sand rises up and it becomes too dusty. Recently BWSSB had laid pipes across this road and has left it without tarring making things worse. With the amount of dust rising from this road people will definitely develop respiratory ailments. Moreover it's not livable at this place anymore.
Please tar the complete Channasandra Main Road properly and remove all the sand accumulated on both sides of the road.",Roads
I was in the city and they rescue me,Safety
Illegal construction happening near to lake side in Lavakushanagar in konappana agrahara . its destroying the natural habitat near to the lake within 100ft distance. Appreciate quick look and stop this,Housing
International attention to the ongoing plight of the people of Chechnya has faded ever since the massive bombardment by the Russian Army ended early in 2000.,Transport
"In a further blow to Zimbabwe's poultry industry, Harare was reportedly unlikely to meet an EU deadline to eradicate a poultry disease, which threatens its lucrative ostrich meat export to the European markets.",Health
Check eligibility for welfare scheme,Municipal
Door to door collection of garbage is not happening on regular basis. People are dumping waste on roadside. Please address this issue asap.,Sanitation
"The Branch, with Appeal funds, successfully completed the water distribution and support programme, delivering containers and water via the Branch ambulance boat.",Water
We are ready !! #hurricanesandy @Lors's place http://t.co/aqtXPuzM,Environment
"I live brace leandre in area of leogane we don't have water treat for drinking when we are drinking water it's giving diarrhe,stomachache help us please ",Water
"Aid arriving in Dichato, Chile. Shops in downtown Santiago are closing due to rumors of looting. #chile #terremotochile",Safety
"American government if I don't have any aquatabs, how can I purify my water? I feel like to drink purified water. ",Transport
"It has the potential of producing glacial lake outburst flood (GLOF), particularly in Bagrot, Bindogol and Golain valleys,"" the PMD said, advising the authorities and local communities to take precautionary measures.",Environment
The footpath has been blocked due to some construction work being done on a plot nearby. Please help clear the footpath.,Safety
"""I am deeply disturbed by reports of violations committed by the army, and by reports that the armed forces have been recruiting and arming proxy militia groups to instigate attacks against particular ethnic and national groups in northern Mali,"" Mr. Dieng said.",Safety
Someone near Udupi garden leaving large amount of sewage water to Rain water drianage. It's leading to lots of mosquito breed and overflowing around the area new new Metro station and Brigade Lakefront entrance,Health
"Hi Team,

we reside in BDA layout near HM world city apartments. The street light on this layout and in this road particularly never works.
we have tried to complaint multiple times but no one has tried to fix this..
As there are kids and familes due to darkness in night there is a risk of robbery and snakes as well.
This is more towards safety of evryone.
please fix this as soon as possible.",Electricity
"A few people are trying to take possession of this empty plot of land, this plot is next to a storm water drain and any construction cannot happen here. There are about 30 fully grown trees planted here. On 25 Aug, 10 trees were cut by these people, and they are trying to cut the remaining 20 trees as well. The miscreants do not have any tree cutting permission, nor any land possession certificate. Besides any construction activity is illegal as this is next to a storm water drain.

Please help save the trees and unauthorised encroachment of land.",Housing
"The first fire began around Shakiso, initially affecting up to 20,000 hectares of forestland.",Safety
"Hundreds now live cheek by jowl beside the remains of a housing estate on the edge of Bordj Menaiel -- some in decent canvas tents, many in makeshift patchworks of plastic sheeting and carpet but all in the early stages of downright squalor.",Housing
rat infestation in building,Animal Control
Hello.. this is the photo I have taken near my street.. u can see how the tree cover the electricity Bar (stand).. it's disturbing to much to the people staying nearly.. I request you to take a look this this complaint against my problem. when it's rain it's very dangerous to us. this is a rainy season please make action as soon as possible.,Electricity
"In Pakistan, CRS assessment teams have already identified immediate needs for survivors -- shelter, medicine, food, clean water, blankets and water cans.",Water
cattle damaging crops,Animal Control
Message reads : Survivors are still sleeping in the streets. Please bring some advices for them for us please thank you.,Housing
"there is a volcanic eruption at iceland,this ashes covered almost all the eropean continent and a part ot asia.this eruption cause the air plane interrupted their flight. ",Transport
"Agreement has been signed between CARITAS Hong Kong and the FDRC for the provision of 14,000 handmade blankets for the victims of the torrential rains and flooding that affected Kangwon province in October.",Environment
"CHISHAN, Taiwan, Aug 12, 2009 (AFP) - A mudslide engulfed a mountain village in southern Taiwan leaving 100 people feared buried alive, officials said Tuesday, as the confirmed death toll from Typhoon Morakot on the island hit 62.",Environment
students dropout increasing,Education
"In the last week, at least 31 people have been killed in Vietnam because of rainfall that swelled rivers already overflowing from a season of heavy rains.",Transport
"Many people are suffering from Syphilis in our area, but the health expects - (doctors) are only interesting with Aids people. ",Health
"This is to bring to your notice that an autodriver misbehaved in front of phoenix mall. My wife was alone and standing on the footpath to get a cab, and the autorickshaw came on the footpath and hit her with force. she has hurt her back. then he started abusing saying why she was standing there. there was lots of bad words and later she moved away for security reason. the auto number plate was KA 02 AA 5623. when she said she will complain, he said ""do whatever you have to do. i dont care. he was not at all sorry, on the contrary, he was charging on me. I am writing here to seek some sort of action from your side. roads are no longer safe in daytime also. Please take some action",Safety
Bus service unchanged,Transport
"What we want is food. We haven't received any. We are in Leogane, Laferone. If we don't receive aid we will die. Are homes are destroyed and we have nothing.",Housing
"In Bamako last week, thousands took to the streets demanding armed intervention by a West African force to oust Islamists forcing women to wear veils and destroying ancient tombs as they impose Sharia law.",Safety
"Please, we are in the area above Leyogane called Makem or Makom. We have nothing. Please bring a small tent for the unending rain is killing us. Please I am waiting for you to help us. ",Environment
"There are a number of garbage dumps along the Sarjapur main road where garbage is burnt each evening . It’s sets off a black cloud of highly toxic smoke . Among the garbage that’s burnt there are plastic bags too.  Needless to add I am shocked at the sheer irresponsible and ignorant way in which garbage is handled in a city which takes pride in calling itself the silicon capital of India . It’s not just in Sarjapur that this practice is common , it is a common practice in this city to dump and burn garbage just about anywhere and everywhere. Why is such a major environmental threat overlooked and ignored ?",Sanitation
"The scenes of migration around the villages on the banks of the Kosi are reminiscent of the worst deluge after the river breached its eastern embankment at Kusaha on August 18, 2008.",Transport
Next to my apartment people are dumping large amount of wet and dry garbage. during night they set fire and burning of polythene and asbestos releases harmful fumes. tried telling people not to dump garbage like this and speak to the garbage collector who comes daily but they do not understand what we are trying to convey.,Sanitation
"Meanwhile, RM34,000 (9,500 dollars), a portion from the ticket sales of the world-renowned Chinese musical ""Dynamic Yunnan,"" was forwarded to the Crisis Relief Squad of Malaysian Chinese Association (MCA) East Coast Flood Relief Fund, in a bid to support Malaysia's efforts to overcome the flood disaster.",Environment
rat infestation in building,Animal Control
How to check application status,Municipal
"In India, tens of thousands of people on the east coast were clearing out of the path of a storm approaching across the Bay of Bengal, officials said.",Transport
**In Summary** - Residents in affected areas asked to avoid water from contaminated river.,Water
midday meal not provided,Education
"Garbage not collected from 1 week in 8th main 5th stage, beml layout, RR nagar",Sanitation
"Our house is in the crossing of Wellington street and Serpentine street, Richmond Town. 

The first picture is of Serpentine street
Because of the uneven pavement, the residents keep their garbage here which causes a lot of inconvenience- requesting to please tar the corners of this pavement 

The second picture is of Wellington street. 
Because of the broken footpath, there are huge rats coming in and out and enter our house and garden. Requesting to please close this hole.

Thank you. 
CWA member",Sanitation
The flood has destroyed the 4.2MW Reshun hydropower station supplying electricity to Mastuj tehsil.,Environment
"The attacks on health facilities and the wider pattern of indiscriminate bombardment of towns and villages, often hitting homes, farms, and health and education facilities, constitute war crimes, Human Rights Watch said.",Housing
Animal waste is dumped by near by hotels in the night. The stench is unbearable. The Auto No of the person who dumps it is KA 01 3531.,Sanitation
"After a few failed attempts, I'm back in #NYC. Thanks, #Sandy.",Environment
No streetlights on busy streach of silk board from past many year's. when this BBMP will put lights on this place? thousands of people and lakhs of vehicles pass through this stretch. people cross irregularly and this junction is so tough to cross. please put street light and save peoples life.,Electricity
"LANZHOU, Oct. 27 (Xinhuanet) -- More cotton-padded tents are badly in need in Zhangye city in northwestern Gansu province, which was hit by twin tremors Saturday night, as most of the quake victims are now huddling in makeshift shelters in jolted areas where temperature drops to five degrees below zero Celsius at night, a civil affairs official said.",Environment
"Please have a look at the street electric poll , its bending forward , I've raised complaint regarding the issue to the BESCOM on Sunday 21 July 2019 but the issue has not yet been solved till the date , I'm making a call everyday and I'm just getting some invalid reason from BESCOM, kindly solve the issue soon as possible",Electricity
"Road near Amoda valmark is un-drivalble and fully damaged. Chance of accident,  Multiple buses takes same road....very challenging to travel",Roads
dog bite near school,Animal Control
Its krazii outside .. hopefully sandy is gone even tho it left sum places a mess . Hope every1 is safe nd is okay . Glad the rain has stop .,Environment
The vehicle assigned to collect garbage has not turned up from 3 days. moreover the drive us very rude. @ 12 B cross pragathi nagar Ward number 192. call at 9880977543 for further details.,Sanitation
Loading unloading of gas cylinders,Safety
"I would like to donate clothing , non-perishable food items and baby items , that we collect here in our community . Also , may be available to volunteer in a shelter during Thanksgiving weekend ( November 22 - 26 ) . Not physically big or strong but can help in other ways .",Housing
"While relief efforts continue to assist avalanche survivors, snowbound villages throughout the province also desperately need health care and nutrition as their food supplies run low and as increased cases of pneumonia and other illnesses ravage the population.",Transport
"For instance, in Mutare (Manicaland province), sawmills employing a large number of workers are not operational as timbers cannot be transported under the current condition of roads and bridges.",Transport
"This is nth time am  complaining.

This is semi rural-urban area with floating / freelancing construction workers and poor minority community with shanty like shelters.
Here the open defecation is rampant endangering the lives of the people around here.  Need to construct many public toilets urgently as the adequate government land is available.",Health
Street light not working since almost one year. Raised complaint twice in Namma Bengaluru app but the same has been closed without attending. Creates lot of nuisance in the atmosphere.,Electricity
"Location: 2nd Main Road, Bhuvaneshwari Nagar, RT Nagar Post, Bangalore - 560032

The sewerage has been overflowing for the past 4-5 days and despite multiple complaints, calls and messages to the BWSSB no action has been taken yet. The manhole cover is damaged n the sewerage overflowing on the roads causing inconvenience to the residents. The unpleasant odour and flies are creating an unhygienic atmosphere with the probability of newer diseases arising amidst the pandemic. Please resolve this issue at the earliest.",Health
No street light in our street No response from any one from BBMP office pls resolve the issue,Electricity
The people of Sujawal and Thatta are facing tremendous problems because of prolonged loadshedding.,Transport
Since the Earthquake the Santiago Airport is still operating out of tents. http://bit.ly/dbfBUO,Transport
None of the street light working in the road.plz look into it.,Electricity
"McIvor noted that depending on rain-fed agriculture would not be feasible, particularly in the south, and interventions would have to include irrigation and water management schemes, drought-resistant crop varieties, and diversifying into alternative livelihoods, like fishing.",Water
"My house is destroyed, I keep sleeping outside ,I really don't know till when ",Housing
Sudanese nationals rounded up in Addis: Ethiopian police shot dead a Sudanese refugee and wounded another during a bid to round up and move a group of refugees to a camp outside the city.,Safety
Unable to cross outer ring road in fast moving traffic near B Narayanpura bus stop. Request for foot over bridge to avoid accidents etc. Thanks,Roads
wild animal spotted in colony,Animal Control
"Railway crossing on KHB Road Kanakanagar is a messy bottleneck everytime the gate closed.
Everytime the gate closed the vehicles make multiple lanes and then try to flow into one lane as the gate opens, causing a bottleneck.",Roads
school closed for no reason,Education
"We have reported this last year as well.All other crosses are tarred but only 1St cross is left as it is.

I request you to please take action.
During rainy season we are facing lot of difficulty .
If other crosses are tarred then why not ours. ?

Thanks
Radhakrishnan",Roads
"Straight lights not working in kormangala 6th block. 583, 17th D Main Rd
583, 17th D Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095
https://maps.app.goo.gl/es8TU4rXw99NugDH8",Electricity
Street light not working since long,Electricity
"This surface low will gradually weaken, whilst moving in a south-easterly direction, until 18/03/2000.",Transport
Warm-hearted people are providing resources to help Amity to get free shipment of the undergarments donated by a company in Shanghai; volunteers from local schools help Amity in outdoor fundraising at subway stations...,Water
"In DG Khan and Mianwali, ACTED, through the support of OFDA, has already built 1,700 transitional shelters designed to last 3-5 years in order to allow time for affected-populations to rebuild their economic and social assets Those transitional shelters were provided in view of the harsh climate conditions in the mountainous regions of the North where the poorly insulated tents are neither suitable for summer nor winter.",Housing
This shell is out of gas. #sandy (@Shell Gas Station) [pic]: http://t.co/j9eWplNq,Environment
there are people under St-Louis Church ,Housing
"Street lights not working on BaddyZone Plot No.84 & 85 SHCBS Layout, S.T. Bed, 1st Block Koramangala area.",Electricity
"The crisis, which began in late April after the ruling party nominated Nkurunziza to stand again in the June 26 presidential election, deepened last week when a top general staged a failed coup attempt.",Safety
Ration card not received for long time,Municipal
"Me and my family every time it rains you do not know what to do, because we have nothing to shelter, please find us something that we live in a military cites the legal street pole. ",Environment
"This has been the most tortured state of BESCOM to have no power supply.

There has been no electricity since Aug 8. No response from BESCOM on the revert. How do you expect someone to live in an area like this?",Electricity
Despite the hurricane kids are still trick &amp; treating in Ridgewood. #Ridgewood #NYC @FISH FOOD http://t.co/wQV6xtAv,Environment
"Hello BBMP,

I am representing the people belonging to the are of Manjunathnagar. The address of the location is No 130/2 4th main 1st phase manjunathnagar rajajinagar bangalore 560010.

This is a small ground where hundreds of boys come from different location and play cricket. They hit to people irrespective whether walking or sitting in the houses while playing cricket. Some serious injuries are happening due to this, after hitting the ball they run away and making us in no contact with the person who hit.

Also they are hitting inside houses/vehicles parked. Breaking the glasses irrespective of vehicle. I request you to kindly make this ground as a park and allow people to do walking or jogging. or for small kids to play",Housing
"Operating from a base camp established at Bandar Lampung airport, the two Air Tractor 802 planes started flying bombing sorties over the fires late this afternoon.",Safety
The BESCOM people came and cut few trees and all of them have accumulated for the last few days,Sanitation
"This year's rainy season was longer than expected, and consequent flooding has caused displacement and damage to arable land and infrastructure, particularly in areas surrounding Bunj town.",Transport
"Sewage water is overflowing in main and and nearby apartments. It is been five days we have raised a complain to BWSSB, Complain # 2019-04-6-42795, but it is not fixed. 
Due to sewage water, unbearable smell is coming. It is very difficult to go out on the road. Lots of mosquito we see now in apartment. Please help getting this issue fixed.",Health
"Kong is no match for Puck's hurricane-induced stress-chewing, apparently. http://t.co/EyV7ucbG",Environment
Sooooo .. .the house just shook a little . #windy #ctsandy #Bridgeport,Environment
Borewell road - Nallurahalli junction is congested every day during peak hours. The poor management of traffic is causing residents to suffer a lot. Either this road should be made one way from Ramgondanahalli Borewell Road to Nallurahalli junction or dividers should be build to avoid vehicles blocking moving traffic along with deputation of cops or placement of traffic light at Nallurahalli junction.,Roads
"We have side drainage lines to send rain water from our layout to raja kalave, here water is coming back from raja kalave to our rain water drain lines in our layout. Please deepen the raja kalave to avoid water enter into our layout.",Health
Each Time it Rains Manhole Comes Out and All Drainage Water Going into the Homes,Health
UNICEF will provide Td (tetanus diphtheria) vaccine.,Health
